name,Kv,Kr,Gv,Gr
YOCLIN_clean,33.127,33.126,7.273,6.976
YOZNAE_clean,33.582,33.582,7.571,7.046
YUGLES_clean,30.836,30.518,9.803,6.992
YUSWEP_manual,0.696,0.696,0.87,0.836
ZACHIX_clean,33.571,33.571,7.558,7.037
ZAHLEC_clean,1.397,-0.19,1.524,-0.103
ZIKJIO_clean,16.237,1.794,2.996,-0.596
ZIKJOU_clean,7.255,-0.645,3.231,1.085
ZILFOR_manual,22.818,22.143,9.077,1.347
ZOXGOK_clean,9.044,4.818,4.601,1.269
c4ce00408f_c4ce00408f2_clean,46.384,46.335,39.615,36.538
c6ce00407e_c6ce00407e1_clean,6.333,2.528,2.5,0.484
c6ce00407e_c6ce00407e2_clean,3.662,1.351,1.495,0.639
c6ce00407e_c6ce00407e3_clean,33.093,33.093,7.235,6.945
c6ce00407e_c6ce00407e7_clean,10.294,10.291,4.956,4.428
c6ce00407e_c6ce00407e9_clean,1.553,-0.033,0.751,-0.052
cg400449c_si_001_clean,11.06,6.183,4.567,0.6
cg500175k_si_001_auto,8.962,8.692,1.996,1.623
cg501730q_si_002_clean,10.518,7.891,6.986,3.427
cm501138g_si_002_clean,33.136,33.136,7.285,6.984
cm501138g_si_005_clean,33.135,33.135,7.283,6.983
cm501138g_si_006_clean,33.132,33.132,7.28,6.981
cm501138g_si_008_clean,33.13,33.13,7.277,6.979
cm501138g_si_009_clean,33.136,33.136,7.285,6.985
cm501138g_si_010_clean,33.132,33.132,7.279,6.98
cm501138g_si_011_clean,33.14,33.139,7.288,6.987
cm501138g_si_012_clean,33.129,33.129,7.276,6.978
ic034943jsi20030807_040506_clean,8.072,1.023,4.245,0.51
ic502921j_si_002_clean,31.649,11.152,4.683,2.777
ic5b00194_si_002_clean,20.289,16.726,4.704,3.979
j.inoche.2015.05.017_inc05998-mmc2_clean,8.919,8.319,6.497,4.074
ja203898s_si_004_clean,10.919,4.924,10.873,2.924
ja203898s_si_006_clean,12.911,11.981,5.705,1.453
science.1056698_manual,7.146,7.146,1.964,1.534
